Location,Cases,Pop,PM10
Alexandra,2,4.407,25.9
Arrowtown,0,1.689,19.5
Ashburton,4,14.202,19.5
Auckland,87,359.454,21
Balclutha,1,4.104,16
Blenheim,5,21.195,18.1
Cambridge,1,4.995,14.1
Christchurch_Inner,43,132.706,24.7
Christchurch_Outer,42,183.512,17.4
Clevedon,0,3.297,7.1
Cromwell,1,2.667,23.8
Dunedin,17,82.284,15.5
Fielding,2,12.705,12.3
Geraldine,1,2.205,17.2
Gisborne,4,28.992,10.7
Gore,2,7.665,19.1
Hamilton,22,114.171,14.7
Hastings,6,42.297,10.3
Hawera,1,7.83,10
Invercargill,11,41.964,19.7
Kaiapoi,3,9.258,23.4
Kaikoura,1,2.106,20.9
Leamington,1,6.249,13.9
Levin,2,12.315,14.4
Lower_Hutt,16,78.426,15.1
Manukau,54,279.906,14.6
Masterton,5,17.514,22.1
Matamata,1,6.078,16.2
Milton,1,1.92,19.6
Morrinsville,1,3.678,14
Mosgiel,2,6.342,21.4
Napier,7,49.851,10.3
Nelson,7,15.012,34
New_Plymouth,8,49.047,11.7
North_Shore,40,184.812,16.3
Oamaru,3,11.085,21.1
Opotiki,1,3.999,10.8
Orewa,4,26.559,12.1
Palmerston_North,12,70.836,12.7
Papakura,5,29.328,12.6
Paraparaumu,4,21.372,15.1
Porirua,9,47.364,13.6
Pukekohe,2,11.076,12.5
Putaruru,1,3.783,14.7
Rangiora,2,8.607,19.7
Reefton,0,0.987,25.4
Richmond,3,10.578,18.1
Rotorua,10,45.597,15.9
Takanini,2,9.39,12.4
Taupo,3,16.935,15.1
Tauranga,14,70.854,14.6
Te_Awamutu,2,9.165,14.8
Te_Kuiti,1,4.374,15.3
Timaru,7,24.732,21.2
Tokoroa,4,14.019,21.5
Upper_Hutt,8,32.904,18.6
Waiheke_Island,2,7.137,16.6
Waimate,1,2.757,17
Wainuiomata,3,16.602,12.7
Waitakere,34,168.741,15.3
Waiuku,1,5.478,12.9
Wanganui,6,34.767,13.7
Wellington,26,162.978,11.8
Westport,1,3.783,20.1
Whakatane,2,13.113,10.5
Whangarei,10,40.824,18.1
Winton,1,2.1,27
